INCIDENT,PENALTY,VICTIM,SCORE,LOCATION,COUNTRY,DATE,WHEN,MOON_NIGHT_BEFORE
none,None,None,Winning,No location,Uruguay,2004-10-27,90,Half
finger in the eye,Not Caught,defender,Winning,opponent team penalty area,Uruguay,2004-10-28,32,No Moon
bite,Not Caught,goalkeeper,Losing,midfield,Uruguay,2004-10-31,88,No Moon
finger in the eye,Yellow card,journalist,Winning,off field,Uruguay,2004-10-31,61,Full
spit in the face,yellow card,forward,Losing,midfield,Uruguay,2004-11-11,66,No Moon
bite,Yellow card,spectator,Draw at a time,off field,Uruguay,2004-11-15,83,No Moon
spit in the face,yellow card,referee,Winning,off field,Uruguay,2004-11-17,6,No Moon
bite,Yellow card,spectator,Winning,off field,Uruguay,2004-11-20,84,Full
scratch,Not Caught,journalist,Draw at a time,off field,Uruguay,2004-11-20,30,Half
finger in the eye,Suspended for several games,spectator,Losing,off field,Uruguay,2004-12-03,62,Half
kick in the butt,Red Card,None,Draw at a time,opponent team penalty area,Uruguay,2004-12-04,61,Half
bite,Yellow card,None,Draw at a time,his team penalty area,Uruguay,2004-12-14,45,No Moon
kick in the butt,Suspended for several games,midfielder,Draw at a time,off field,Uruguay,2004-12-21,54,No Moon
none,None,None,Winning,No location,Uruguay,2004-12-22,90,No Moon
none,None,None,Winning,No location,Uruguay,2004-12-25,90,Half
bite,Yellow card,defender,Draw at a time,midfield,Uruguay,2005-01-05,41,Full
none,None,None,Winning,No location,Uruguay,2005-01-13,90,No Moon
bite,Suspended for several games,journalist,Losing,off field,Uruguay,2005-01-26,85,Half
bite,Suspended for several games,goalkeeper,Winning,his team penalty area,Uruguay,2005-01-28,20,Full
scratch,Red Card,journalist,Losing,off field,Uruguay,2005-01-30,80,No Moon
headbutt,Suspended for several games,forward,Losing,his team penalty area,Uruguay,2005-01-31,37,Half
kick in the butt,None,None,Losing,midfield,Uruguay,2005-02-05,24,No Moon
none,None,None,Winning,No location,Uruguay,2005-02-08,90,No Moon
spit in the face,yellow card,midfielder,Draw at a time,midfield,Uruguay,2005-02-09,27,Half
bite,Red Card,referee,Winning,midfield,Uruguay,2005-02-13,87,No Moon
none,None,None,Winning,No location,Uruguay,2005-02-16,90,Full
headbutt,Suspended for several games,midfielder,Losing,his team penalty area,Uruguay,2005-02-21,2,Full
scratch,Yellow card,journalist,Losing,off field,Uruguay,2005-02-22,32,No Moon
none,None,None,Winning,No location,Uruguay,2005-03-07,90,Full
kick in the butt,Red Card,goalkeeper,Draw at a time,his team penalty area,Uruguay,2005-03-10,86,Full
scratch,None,defender,Winning,midfield,Uruguay,2005-03-12,80,No Moon
scratch,Red Card,journalist,Losing,off field,Uruguay,2005-03-13,56,Half
kick in the butt,Yellow card,spectator,Losing,off field,Uruguay,2005-03-15,61,Full
headbutt,Not Caught,goalkeeper,Winning,his team penalty area,Uruguay,2005-03-22,61,Half
bite,Suspended for several games,goalkeeper,Winning,opponent team penalty area,Uruguay,2005-03-27,17,Full
kick in the butt,Yellow card,goalkeeper,Winning,his team penalty area,Uruguay,2005-03-30,62,Full
spit in the face,yellow card,defender,Losing,opponent team penalty area,Uruguay,2005-04-03,63,Full
bite,Suspended for several games,defender,Losing,midfield,Uruguay,2005-04-08,81,Full
scratch,Suspended for several games,journalist,Winning,off field,Uruguay,2005-04-12,66,Half
finger in the eye,Not Caught,None,Losing,opponent team penalty area,Uruguay,2005-04-16,55,Full
headbutt,Suspended for several games,spectator,Winning,off field,Uruguay,2005-04-19,26,Full
none,None,None,Winning,No location,Uruguay,2005-04-24,90,Full
headbutt,Not Caught,referee,Winning,his team penalty area,Uruguay,2005-04-29,62,Half
bite,Red Card,forward,Winning,opponent team penalty area,Uruguay,2005-05-12,81,Full
headbutt,Not Caught,forward,Draw at a time,off field,Uruguay,2005-05-15,21,Half
finger in the eye,None,journalist,Losing,off field,Uruguay,2005-05-16,61,Half
none,None,None,Winning,No location,Uruguay,2005-05-25,90,Full
headbutt,Suspended for several games,defender,Winning,off field,Uruguay,2005-05-25,79,No Moon
scratch,Not Caught,referee,Losing,opponent team penalty area,Uruguay,2005-05-26,90,Full
bite,Not Caught,None,Winning,opponent team penalty area,Uruguay,2005-05-30,43,Full
kick in the butt,Not Caught,defender,Losing,his team penalty area,Uruguay,2005-06-04,0,No Moon
finger in the eye,Red Card,goalkeeper,Winning,his team penalty area,Uruguay,2005-06-04,79,No Moon
bite,None,journalist,Losing,off field,Uruguay,2005-06-05,14,Full
headbutt,Red Card,referee,Winning,midfield,Uruguay,2005-06-23,22,Full
spit in the face,yellow card,None,Losing,off field,Uruguay,2005-06-27,1,No Moon
bite,None,None,Winning,his team penalty area,Uruguay,2005-07-05,84,No Moon
bite,Suspended for several games,forward,Winning,opponent team penalty area,Uruguay,2005-07-09,88,No Moon
bite,Red Card,midfielder,Draw at a time,his team penalty area,Uruguay,2005-07-12,27,Half
spit in the face,yellow card,None,Losing,his team penalty area,Uruguay,2005-07-12,71,Half
bite,Not Caught,referee,Draw at a time,midfield,Uruguay,2005-07-19,81,No Moon
bite,Suspended for several games,referee,Draw at a time,opponent team penalty area,Uruguay,2005-07-20,90,No Moon
spit in the face,yellow card,goalkeeper,Winning,opponent team penalty area,Uruguay,2005-07-24,82,No Moon
bite,Red Card,None,Draw at a time,his team penalty area,Uruguay,2005-07-27,31,Half
spit in the face,yellow card,spectator,Draw at a time,off field,Uruguay,2005-07-29,19,Full
spit in the face,yellow card,goalkeeper,Losing,his team penalty area,Uruguay,2005-08-03,2,No Moon
kick in the butt,Not Caught,defender,Draw at a time,off field,Uruguay,2005-08-04,51,Half
bite,Suspended for several games,referee,Draw at a time,opponent team penalty area,Uruguay,2005-08-05,48,No Moon
headbutt,Not Caught,None,Losing,midfield,Uruguay,2005-08-13,17,No Moon
none,None,None,Winning,No location,Uruguay,2005-08-14,90,Full
spit in the face,yellow card,spectator,Draw at a time,off field,Uruguay,2005-08-15,64,Full
spit in the face,yellow card,journalist,Draw at a time,off field,Uruguay,2005-08-16,58,Half
finger in the eye,Red Card,spectator,Draw at a time,off field,Uruguay,2005-08-21,43,Half
bite,Red Card,forward,Losing,off field,Uruguay,2005-08-28,42,Half
finger in the eye,Suspended for several games,spectator,Winning,off field,Uruguay,2005-08-31,0,No Moon
bite,Yellow card,journalist,Winning,off field,Uruguay,2005-09-02,83,Half
none,None,None,Winning,No location,Uruguay,2005-09-02,90,Full
finger in the eye,None,None,Draw at a time,his team penalty area,Uruguay,2005-09-05,48,No Moon
kick in the butt,Yellow card,spectator,Winning,off field,Uruguay,2005-09-14,65,Half
finger in the eye,Yellow card,journalist,Draw at a time,off field,Uruguay,2005-09-18,58,No Moon
none,None,None,Winning,No location,Uruguay,2005-09-29,90,Half
finger in the eye,Not Caught,goalkeeper,Draw at a time,off field,Uruguay,2005-10-07,1,No Moon
scratch,Suspended for several games,forward,Draw at a time,opponent team penalty area,Uruguay,2005-10-22,29,No Moon
spit in the face,yellow card,forward,Losing,off field,Uruguay,2005-10-23,76,Half
scratch,Suspended for several games,referee,Losing,off field,Uruguay,2005-10-23,37,Half
headbutt,Not Caught,journalist,Draw at a time,off field,Uruguay,2005-10-23,58,Full
headbutt,Red Card,goalkeeper,Winning,opponent team penalty area,Uruguay,2005-10-24,24,No Moon
kick in the butt,Suspended for several games,defender,Winning,off field,Uruguay,2005-10-27,43,Half
bite,Red Card,journalist,Winning,off field,Uruguay,2005-11-06,70,Half
bite,Suspended for several games,None,Winning,midfield,Uruguay,2005-11-12,42,Half
bite,Suspended for several games,goalkeeper,Draw at a time,off field,Uruguay,2005-11-20,30,No Moon
finger in the eye,Not Caught,None,Losing,off field,Uruguay,2005-11-27,69,Half
bite,Red Card,journalist,Winning,off field,Uruguay,2005-12-02,86,Full
none,None,None,Winning,No location,Uruguay,2005-12-04,90,No Moon
spit in the face,yellow card,forward,Winning,off field,Uruguay,2005-12-05,17,Half
kick in the butt,Not Caught,None,Draw at a time,off field,Uruguay,2005-12-06,56,No Moon
bite,Suspended for several games,midfielder,Losing,opponent team penalty area,Uruguay,2005-12-09,85,Full
headbutt,Not Caught,forward,Losing,his team penalty area,Uruguay,2005-12-12,34,No Moon
none,None,None,Winning,No location,Uruguay,2005-12-18,90,Full
finger in the eye,Yellow card,forward,Losing,midfield,Uruguay,2005-12-26,44,Half
bite,Yellow card,defender,Losing,opponent team penalty area,Uruguay,2005-12-27,84,Full
bite,Yellow card,defender,Winning,his team penalty area,Uruguay,2005-12-30,15,Half
scratch,Suspended for several games,midfielder,Draw at a time,off field,Uruguay,2006-01-03,33,Full
scratch,None,goalkeeper,Winning,his team penalty area,Uruguay,2006-01-05,18,Half
none,None,None,Winning,No location,Uruguay,2006-01-09,90,No Moon
kick in the butt,Not Caught,journalist,Winning,off field,Uruguay,2006-01-11,23,Full
headbutt,Yellow card,forward,Winning,opponent team penalty area,Uruguay,2006-01-12,4,Half
finger in the eye,Suspended for several games,None,Draw at a time,off field,Uruguay,2006-01-13,43,Full
scratch,Not Caught,referee,Draw at a time,off field,Uruguay,2006-01-26,69,No Moon
spit in the face,yellow card,journalist,Winning,off field,Uruguay,2006-01-26,64,Half
scratch,Yellow card,forward,Draw at a time,midfield,Uruguay,2006-02-05,34,Half
none,None,None,Winning,No location,Uruguay,2006-02-06,90,Full
bite,Not Caught,spectator,Draw at a time,off field,Uruguay,2006-02-08,48,Half
kick in the butt,Suspended for several games,forward,Winning,his team penalty area,Uruguay,2006-02-14,15,Full
scratch,Not Caught,journalist,Winning,off field,Uruguay,2006-02-19,1,Full
kick in the butt,Suspended for several games,midfielder,Losing,off field,Uruguay,2006-02-24,42,Half
bite,Suspended for several games,spectator,Winning,off field,Uruguay,2006-03-04,12,Half
bite,Suspended for several games,goalkeeper,Losing,midfield,Uruguay,2006-03-07,71,No Moon
none,None,None,Winning,No location,Uruguay,2006-03-08,90,No Moon
kick in the butt,Red Card,journalist,Winning,off field,Uruguay,2006-03-12,23,Half
finger in the eye,Not Caught,forward,Losing,off field,Uruguay,2006-03-19,60,Full
finger in the eye,Suspended for several games,defender,Losing,off field,Uruguay,2006-03-21,26,No Moon
headbutt,Suspended for several games,journalist,Losing,off field,Uruguay,2006-03-22,59,Half
finger in the eye,Yellow card,journalist,Draw at a time,off field,Uruguay,2006-03-29,37,No Moon
spit in the face,yellow card,midfielder,Draw at a time,midfield,Uruguay,2006-03-30,14,Full
spit in the face,yellow card,spectator,Winning,off field,Uruguay,2006-03-31,65,Full
none,None,None,Winning,No location,Uruguay,2006-04-01,90,Half
kick in the butt,Yellow card,goalkeeper,Draw at a time,off field,Uruguay,2006-04-03,77,Full
bite,Yellow card,journalist,Losing,off field,Uruguay,2006-04-06,38,Full
finger in the eye,Red Card,midfielder,Winning,opponent team penalty area,Uruguay,2006-04-10,73,No Moon
spit in the face,yellow card,defender,Losing,midfield,Uruguay,2006-04-10,18,No Moon
headbutt,Yellow card,midfielder,Losing,his team penalty area,Uruguay,2006-04-11,9,No Moon
scratch,Yellow card,referee,Losing,opponent team penalty area,Uruguay,2006-04-15,14,No Moon
none,None,None,Winning,No location,Uruguay,2006-04-15,90,Full
none,None,None,Winning,No location,Uruguay,2006-04-21,90,No Moon
bite,Red Card,midfielder,Winning,off field,Uruguay,2006-04-22,4,Half
bite,Not Caught,midfielder,Draw at a time,midfield,Uruguay,2006-05-04,85,No Moon
kick in the butt,None,midfielder,Winning,opponent team penalty area,Uruguay,2006-05-05,51,No Moon
bite,Suspended for several games,forward,Draw at a time,off field,Uruguay,2006-05-07,89,Half
headbutt,Red Card,midfielder,Losing,midfield,Uruguay,2006-05-07,30,Half
none,None,None,Winning,No location,Uruguay,2006-05-15,90,Half
finger in the eye,Yellow card,forward,Draw at a time,midfield,Uruguay,2006-05-16,50,No Moon
spit in the face,yellow card,goalkeeper,Winning,midfield,Uruguay,2006-05-18,46,Half
bite,Yellow card,journalist,Draw at a time,off field,Uruguay,2006-05-19,85,No Moon
finger in the eye,Not Caught,journalist,Losing,off field,Uruguay,2006-05-22,25,Full
kick in the butt,Not Caught,referee,Winning,off field,Uruguay,2006-05-27,66,Half
finger in the eye,Not Caught,midfielder,Draw at a time,off field,Uruguay,2006-06-04,46,Half
kick in the butt,Not Caught,journalist,Draw at a time,off field,Uruguay,2006-06-06,64,No Moon
none,None,None,Winning,No location,Uruguay,2006-06-11,90,Half
bite,Suspended for several games,goalkeeper,Draw at a time,off field,Uruguay,2006-06-13,48,Half
bite,Not Caught,journalist,Winning,off field,Uruguay,2006-06-15,80,Half
headbutt,None,goalkeeper,Winning,off field,Uruguay,2006-06-15,57,No Moon
kick in the butt,Red Card,None,Winning,opponent team penalty area,Uruguay,2006-06-18,90,No Moon
scratch,Suspended for several games,midfielder,Losing,opponent team penalty area,Uruguay,2006-06-18,33,Half
bite,Yellow card,None,Losing,opponent team penalty area,Uruguay,2006-06-26,81,No Moon
bite,Yellow card,forward,Winning,his team penalty area,Uruguay,2006-06-27,25,No Moon
finger in the eye,Yellow card,spectator,Winning,off field,Uruguay,2006-06-29,72,Full
finger in the eye,Not Caught,None,Losing,midfield,Uruguay,2006-07-01,56,No Moon
bite,Red Card,midfielder,Draw at a time,off field,Uruguay,2006-07-05,21,No Moon
bite,None,spectator,Winning,off field,Uruguay,2006-07-06,84,Full
spit in the face,yellow card,spectator,Winning,off field,Uruguay,2006-07-08,36,Full
none,None,None,Winning,No location,Uruguay,2006-07-12,90,No Moon
spit in the face,yellow card,None,Draw at a time,his team penalty area,Uruguay,2006-07-14,41,Full
bite,Red Card,journalist,Losing,off field,Uruguay,2006-07-17,83,No Moon
none,None,None,Winning,No location,Uruguay,2006-07-19,90,No Moon
spit in the face,yellow card,referee,Draw at a time,opponent team penalty area,Uruguay,2006-07-26,57,Full
scratch,Not Caught,midfielder,Winning,his team penalty area,Uruguay,2006-08-01,77,No Moon
finger in the eye,Yellow card,journalist,Draw at a time,off field,Uruguay,2006-08-02,9,No Moon
kick in the butt,Suspended for several games,midfielder,Draw at a time,his team penalty area,Uruguay,2006-08-02,38,Full
kick in the butt,Yellow card,defender,Losing,opponent team penalty area,Uruguay,2006-08-10,39,Half
bite,Red Card,referee,Losing,off field,Uruguay,2006-08-11,84,No Moon
spit in the face,yellow card,journalist,Winning,off field,Uruguay,2006-08-14,60,Half
scratch,Red Card,journalist,Losing,off field,Uruguay,2006-08-15,7,No Moon
headbutt,Yellow card,forward,Winning,midfield,Uruguay,2006-08-22,10,No Moon
none,None,None,Winning,No location,Uruguay,2006-08-28,90,No Moon
headbutt,Suspended for several games,goalkeeper,Losing,off field,Uruguay,2006-09-01,45,No Moon
bite,Not Caught,None,Winning,opponent team penalty area,Uruguay,2006-09-01,85,Half
none,None,None,Winning,No location,Uruguay,2006-09-01,90,Full
kick in the butt,None,journalist,Winning,off field,Uruguay,2006-09-01,21,No Moon
finger in the eye,Red Card,goalkeeper,Draw at a time,midfield,Uruguay,2006-09-04,47,Full
scratch,Red Card,journalist,Draw at a time,off field,Netherlands,2006-09-18,16,Full
chestbutt,None,goalkeeper,Losing,midfield,Netherlands,2006-09-22,60,No Moon
headbutt,None,forward,Winning,his team penalty area,Netherlands,2006-09-24,41,Full
chestbutt,Not Caught,forward,Losing,off field,Netherlands,2006-09-25,52,Half
none,None,None,Winning,No location,Netherlands,2006-09-27,90,No Moon
scratch,Not Caught,journalist,Losing,off field,Netherlands,2006-10-02,42,No Moon
scratch,Red Card,goalkeeper,Winning,off field,Netherlands,2006-10-03,34,Full
chestbutt,Not Caught,forward,Draw at a time,his team penalty area,Netherlands,2006-10-07,4,Full
none,None,None,Winning,No location,Netherlands,2006-10-07,90,Full
spit in the face,yellow card,defender,Losing,off field,Netherlands,2006-10-12,67,No Moon
chestbutt,Suspended for several games,journalist,Losing,off field,Netherlands,2006-10-14,48,Half
none,None,None,Winning,No location,Netherlands,2006-10-15,90,Half
spit in the face,yellow card,spectator,Winning,off field,Netherlands,2006-10-20,77,Full
bite,Not Caught,None,Draw at a time,his team penalty area,Netherlands,2006-10-22,80,Full
bite,Yellow card,goalkeeper,Winning,his team penalty area,Netherlands,2006-10-25,86,Half
none,None,None,Winning,No location,Netherlands,2006-10-31,90,Half
bite,Yellow card,spectator,Losing,off field,Netherlands,2006-10-31,90,Full
headbutt,Not Caught,forward,Losing,off field,Netherlands,2006-11-07,4,No Moon
bite,Not Caught,goalkeeper,Winning,midfield,Netherlands,2006-11-25,88,Full
spit in the face,yellow card,referee,Winning,his team penalty area,Netherlands,2006-11-25,27,Half
bite,None,midfielder,Winning,his team penalty area,Netherlands,2006-12-01,84,Full
chestbutt,Not Caught,forward,Winning,opponent team penalty area,Netherlands,2006-12-03,79,No Moon
bite,Suspended for several games,goalkeeper,Losing,opponent team penalty area,Netherlands,2006-12-12,82,No Moon
scratch,Red Card,defender,Draw at a time,off field,Netherlands,2006-12-16,67,Half
none,None,None,Winning,No location,Netherlands,2006-12-16,90,Full
kick in the butt,Suspended for several games,goalkeeper,Winning,off field,Netherlands,2006-12-23,35,No Moon
none,None,None,Winning,No location,Netherlands,2007-01-06,90,No Moon
finger in the eye,Not Caught,journalist,Winning,off field,Netherlands,2007-01-09,26,Full
bite,Yellow card,midfielder,Draw at a time,midfield,Netherlands,2007-01-15,88,No Moon
none,None,None,Winning,No location,Netherlands,2007-01-19,90,Full
none,None,None,Winning,No location,Netherlands,2007-01-21,90,Half
none,None,None,Winning,No location,Netherlands,2007-02-12,90,Half
kick in the butt,Not Caught,spectator,Draw at a time,off field,Netherlands,2007-02-22,53,No Moon
scratch,Suspended for several games,forward,Draw at a time,off field,Netherlands,2007-02-25,6,No Moon
none,None,None,Winning,No location,Netherlands,2007-03-05,90,Half
bite,Suspended for several games,defender,Draw at a time,off field,Netherlands,2007-03-06,89,No Moon
none,None,None,Winning,No location,Netherlands,2007-03-09,90,No Moon
scratch,Red Card,defender,Winning,off field,Netherlands,2007-03-12,70,Half
finger in the eye,Not Caught,journalist,Losing,off field,Netherlands,2007-03-26,29,Full
finger in the eye,Not Caught,forward,Losing,his team penalty area,Netherlands,2007-03-29,47,Full
scratch,Suspended for several games,defender,Winning,opponent team penalty area,Netherlands,2007-03-30,10,Full
chestbutt,None,forward,Losing,midfield,Netherlands,2007-04-01,52,Full
scratch,Yellow card,forward,Losing,off field,Netherlands,2007-04-03,90,No Moon
kick in the butt,Not Caught,spectator,Losing,off field,Netherlands,2007-04-03,57,Full
headbutt,None,midfielder,Losing,opponent team penalty area,Netherlands,2007-04-04,84,Half
none,None,None,Winning,No location,Netherlands,2007-04-05,90,Half
spit in the face,yellow card,spectator,Losing,off field,Netherlands,2007-04-06,36,Full
none,None,None,Winning,No location,Netherlands,2007-04-08,90,No Moon
spit in the face,yellow card,referee,Winning,off field,Netherlands,2007-04-08,83,Half
none,None,None,Winning,No location,Netherlands,2007-05-12,90,No Moon
spit in the face,yellow card,midfielder,Losing,his team penalty area,Netherlands,2007-05-13,7,Half
none,None,None,Winning,No location,Netherlands,2007-05-14,90,Half
spit in the face,yellow card,midfielder,Winning,midfield,Netherlands,2007-05-18,32,No Moon
scratch,Yellow card,spectator,Winning,off field,Netherlands,2007-05-25,19,No Moon
kick in the butt,Red Card,referee,Draw at a time,opponent team penalty area,Netherlands,2007-06-05,9,Half
spit in the face,yellow card,journalist,Draw at a time,off field,Netherlands,2007-06-13,34,Half
none,None,None,Winning,No location,Netherlands,2007-06-13,90,No Moon
none,None,None,Winning,No location,Netherlands,2007-06-16,90,No Moon
bite,Yellow card,referee,Draw at a time,midfield,Netherlands,2007-06-17,89,No Moon
finger in the eye,Red Card,midfielder,Draw at a time,opponent team penalty area,Netherlands,2007-06-18,90,No Moon
bite,Red Card,defender,Draw at a time,his team penalty area,Netherlands,2007-06-19,85,Half
kick in the butt,Not Caught,forward,Draw at a time,midfield,Netherlands,2007-06-30,58,Half
chestbutt,Yellow card,journalist,Winning,off field,Netherlands,2007-07-05,73,Full
finger in the eye,Suspended for several games,journalist,Winning,off field,Netherlands,2007-07-08,70,Full
chestbutt,Not Caught,None,Draw at a time,his team penalty area,Netherlands,2007-07-09,41,Full
chestbutt,None,spectator,Losing,off field,Netherlands,2007-07-29,40,Full
headbutt,Yellow card,defender,Draw at a time,opponent team penalty area,Netherlands,2007-08-01,71,Full
finger in the eye,Suspended for several games,forward,Draw at a time,off field,Netherlands,2007-08-03,50,Full
none,None,None,Winning,No location,Netherlands,2007-08-06,90,Half
none,None,None,Winning,No location,Netherlands,2007-08-13,90,Full
chestbutt,Yellow card,midfielder,Draw at a time,his team penalty area,Netherlands,2007-08-13,2,No Moon
none,None,None,Winning,No location,Netherlands,2007-08-14,90,Half
none,None,None,Winning,No location,Netherlands,2007-08-19,90,Half
finger in the eye,None,journalist,Winning,off field,Netherlands,2007-08-24,78,No Moon
none,None,None,Winning,No location,Netherlands,2007-08-27,90,Half
kick in the butt,Not Caught,spectator,Losing,off field,Netherlands,2007-09-01,82,No Moon
headbutt,Suspended for several games,spectator,Winning,off field,Netherlands,2007-09-02,7,Full
none,None,None,Winning,No location,Netherlands,2007-09-04,90,No Moon
chestbutt,Yellow card,spectator,Draw at a time,off field,Netherlands,2007-09-12,11,No Moon
chestbutt,Suspended for several games,defender,Winning,off field,Netherlands,2007-09-13,61,Half
none,None,None,Winning,No location,Netherlands,2007-09-16,90,Half
none,None,None,Winning,No location,Netherlands,2007-09-18,90,Full
headbutt,Red Card,None,Draw at a time,his team penalty area,Netherlands,2007-09-18,65,Half
spit in the face,yellow card,journalist,Winning,off field,Netherlands,2007-09-21,64,Full
none,None,None,Winning,No location,Netherlands,2007-10-03,90,No Moon
bite,Not Caught,None,Losing,off field,Netherlands,2007-10-05,82,No Moon
bite,Suspended for several games,defender,Winning,opponent team penalty area,Netherlands,2007-10-06,84,Half
chestbutt,Suspended for several games,journalist,Losing,off field,Netherlands,2007-10-07,17,No Moon
finger in the eye,None,defender,Winning,his team penalty area,Netherlands,2007-10-12,4,Half
chestbutt,Red Card,goalkeeper,Losing,his team penalty area,Netherlands,2007-10-13,69,No Moon
none,None,None,Winning,No location,Netherlands,2007-10-13,90,Full
scratch,Not Caught,midfielder,Draw at a time,midfield,Netherlands,2007-10-14,24,No Moon
kick in the butt,Red Card,goalkeeper,Winning,opponent team penalty area,Netherlands,2007-10-19,30,Full
headbutt,Red Card,goalkeeper,Losing,his team penalty area,Netherlands,2007-10-28,8,Half
bite,None,referee,Draw at a time,opponent team penalty area,Netherlands,2007-10-29,81,Half
none,None,None,Winning,No location,Netherlands,2007-10-30,90,Full
none,None,None,Winning,No location,Netherlands,2007-10-31,90,Full
chestbutt,Yellow card,journalist,Losing,off field,Netherlands,2007-11-02,9,Half
bite,None,defender,Draw at a time,his team penalty area,Netherlands,2007-11-02,85,No Moon
none,None,None,Winning,No location,Netherlands,2007-11-03,90,Full
headbutt,Red Card,midfielder,Winning,opponent team penalty area,Netherlands,2007-11-07,62,Half
scratch,None,forward,Draw at a time,opponent team penalty area,Netherlands,2007-11-10,2,Half
chestbutt,Not Caught,midfielder,Winning,opponent team penalty area,Netherlands,2007-11-15,82,No Moon
bite,None,None,Draw at a time,opponent team penalty area,Netherlands,2007-11-17,89,Half
chestbutt,Not Caught,spectator,Winning,off field,Netherlands,2007-11-21,21,Half
scratch,Yellow card,spectator,Draw at a time,off field,Netherlands,2007-11-22,74,No Moon
scratch,Red Card,defender,Winning,off field,Netherlands,2007-11-25,44,Half
bite,Yellow card,spectator,Draw at a time,off field,Netherlands,2007-11-27,82,Full
bite,None,goalkeeper,Winning,off field,Netherlands,2007-11-27,89,Full
none,None,None,Winning,No location,Netherlands,2007-11-27,90,Full
spit in the face,yellow card,referee,Winning,opponent team penalty area,Netherlands,2007-11-28,60,No Moon
bite,None,defender,Draw at a time,opponent team penalty area,Netherlands,2007-12-09,84,Half
scratch,Red Card,referee,Losing,off field,Netherlands,2007-12-18,10,No Moon
spit in the face,yellow card,referee,Winning,off field,Netherlands,2007-12-19,52,No Moon
spit in the face,yellow card,spectator,Winning,off field,Netherlands,2007-12-22,76,Half
bite,Yellow card,spectator,Winning,off field,Netherlands,2007-12-27,90,Half
bite,Not Caught,referee,Losing,opponent team penalty area,Netherlands,2008-01-01,89,Half
none,None,None,Winning,No location,Netherlands,2008-01-03,90,No Moon
headbutt,Yellow card,goalkeeper,Draw at a time,midfield,Netherlands,2008-01-08,33,Full
headbutt,None,forward,Winning,his team penalty area,Netherlands,2008-01-10,88,No Moon
spit in the face,yellow card,midfielder,Draw at a time,opponent team penalty area,Netherlands,2008-01-13,42,No Moon
none,None,None,Winning,No location,Netherlands,2008-01-17,90,Half
chestbutt,Yellow card,spectator,Draw at a time,off field,Netherlands,2008-01-29,17,Full
bite,None,goalkeeper,Winning,his team penalty area,Netherlands,2008-01-30,83,No Moon
chestbutt,Suspended for several games,journalist,Losing,off field,Netherlands,2008-02-03,71,Full
kick in the butt,Yellow card,midfielder,Losing,off field,Netherlands,2008-02-11,5,No Moon
chestbutt,Yellow card,None,Draw at a time,off field,Netherlands,2008-02-18,26,Full
none,None,None,Winning,No location,Netherlands,2008-02-22,90,Full
none,None,None,Winning,No location,Netherlands,2008-02-22,90,Full
headbutt,None,midfielder,Draw at a time,midfield,Netherlands,2008-02-26,66,Half
spit in the face,yellow card,goalkeeper,Winning,midfield,Netherlands,2008-02-26,61,Half
none,None,None,Winning,No location,Netherlands,2008-03-01,90,Full
finger in the eye,Suspended for several games,midfielder,Draw at a time,opponent team penalty area,Netherlands,2008-03-02,17,Half
scratch,Suspended for several games,referee,Losing,midfield,Netherlands,2008-03-03,75,Half
finger in the eye,Yellow card,defender,Draw at a time,his team penalty area,Netherlands,2008-03-05,34,No Moon
none,None,None,Winning,No location,Netherlands,2008-03-12,90,Full
headbutt,Yellow card,defender,Winning,opponent team penalty area,Netherlands,2008-03-17,89,No Moon
none,None,None,Winning,No location,Netherlands,2008-03-18,90,Half
bite,Red Card,defender,Losing,off field,Netherlands,2008-03-21,84,Half
chestbutt,Not Caught,defender,Winning,off field,Netherlands,2008-03-31,38,No Moon
none,None,None,Winning,No location,Netherlands,2008-04-02,90,Full
finger in the eye,Red Card,defender,Draw at a time,off field,Netherlands,2008-04-04,76,No Moon
chestbutt,Red Card,defender,Draw at a time,midfield,Netherlands,2008-04-04,24,Full
none,None,None,Winning,No location,Netherlands,2008-04-22,90,Half
headbutt,Not Caught,defender,Winning,his team penalty area,Netherlands,2008-04-22,47,Half
bite,Not Caught,journalist,Winning,off field,Netherlands,2008-04-23,87,Full
headbutt,Suspended for several games,defender,Losing,midfield,Netherlands,2008-04-26,9,Full
spit in the face,yellow card,midfielder,Winning,midfield,Netherlands,2008-04-28,82,No Moon
chestbutt,Suspended for several games,defender,Losing,opponent team penalty area,Netherlands,2008-05-02,2,Half
headbutt,Red Card,forward,Winning,his team penalty area,Netherlands,2008-05-24,17,Half
none,None,None,Winning,No location,Netherlands,2008-06-01,90,No Moon
headbutt,None,None,Winning,his team penalty area,Netherlands,2008-06-02,36,Half
kick in the butt,Not Caught,spectator,Draw at a time,off field,Netherlands,2008-06-11,49,Half
finger in the eye,None,goalkeeper,Winning,off field,Netherlands,2008-06-14,63,Half
kick in the butt,Not Caught,goalkeeper,Losing,opponent team penalty area,Netherlands,2008-06-21,72,No Moon
bite,Red Card,spectator,Losing,off field,Netherlands,2008-06-25,90,No Moon
none,None,None,Winning,No location,Netherlands,2008-06-26,90,Full
none,None,None,Winning,No location,Netherlands,2008-07-02,90,No Moon
finger in the eye,None,defender,Draw at a time,midfield,Netherlands,2008-07-02,19,Half
none,None,None,Winning,No location,Netherlands,2008-07-04,90,Full
spit in the face,yellow card,defender,Draw at a time,off field,Netherlands,2008-07-06,81,No Moon
